9 	12 	10.0 	0.00506 	0.00629 	0.00002 	0.00726
12 	16 	13.5 	0.00876 	0.00615 	0.00007 	0.00984
16 	21 	18.0 	0.01353 	0.00579 	0.00015 	0.01320
21 	27 	23.5 	0.02946 	0.00805 	0.00021 	0.01737
27 	35 	30.5 	0.02191 	0.00522 	0.00053 	0.02274
35 	46 	40.0 	0.02744 	0.00464 	0.00109 	0.03008
46 	60 	52.5 	0.04093 	0.00468 	0.00172 	0.03981
60 	78 	68.5 	0.04227 	0.00429 	0.00320 	0.05236
78 	102 	89.5 	0.06463 	0.00454 	0.00567 	0.06901
102 	133 	117.0 	0.10738 	0.00562 	0.00969 	0.09102
133 	173 	152.5 	0.12858 	0.00594 	0.01889 	0.11956
173 	224 	198.0 	0.15696 	0.00611 	0.02895 	0.15598
224 	292 	257.5 	0.21738 	0.00687 	0.04879 	0.20306
292 	380 	335.5 	0.28652 	0.00824 	0.08374 	0.26347
380 	494 	436.5 	0.36682 	0.00958 	0.13524 	0.33848
494 	642 	567.5 	0.42666 	0.01242 	0.19500 	0.42930
642 	835 	738.0 	0.53891 	0.01645 	0.27718 	0.53577
835 	1085 	959.5 	0.71103 	0.02402 	0.37576 	0.65454
1085 	1411 	1247.5 	0.82294 	0.04172 	0.55162 	0.77885
